,Total Party Votes,Candidate Count,(I),Primary Winner,STATE,YEAR,PARTY,Primary Loser Vote,Party In House,Predicted Turnout
0,2876479.0,10,1,2031967.0,California,2018,D,844512.0,0,4588160.260532439
1,1573388.0,11,0,398477.0,California,2018,R,1174911.0,1,2513806.835591802
3,506492.0,3,0,208505.0,Indiana,2018,R,297987.0,1,1368174.8467653026
6,560477.0,8,1,450890.0,Maryland,2018,D,109587.0,0,1279270.446815053
7,169047.0,11,0,49428.0,Maryland,2018,R,119619.0,1,580833.4332072709
8,85709.0,6,0,27358.0,Mississippi,2018,D,58351.0,0,328319.4426668159
9,155022.0,2,1,128309.0,Mississippi,2018,R,26713.0,1,561494.4256147095
11,152483.0,4,0,51549.0,Montana,2018,R,100934.0,1,408386.8315486578
12,90480.0,4,0,57654.0,Nebraska,2018,D,32826.0,0,383631.62253301626
13,167645.0,5,1,127083.0,Nebraska,2018,R,40562.0,1,512787.11263044464
14,143329.0,7,0,110530.0,Nevada,2018,D,32799.0,0,471375.76739219285
15,142175.0,6,1,99472.0,Nevada,2018,R,42703.0,1,469442.35920174385
16,417858.0,2,1,259875.0,New Jersey,2018,D,157983.0,0,1227240.440010074
17,222395.0,2,0,167121.0,New Jersey,2018,R,55274.0,1,977012.0901620417
23,69447.0,2,0,60998.0,North Dakota,2018,R,8449.0,1,380090.6154275295
25,760808.0,5,0,360475.0,Ohio,2018,R,400333.0,1,1811127.9114665485
27,681334.0,2,0,429888.0,Pennsylvania,2018,R,251446.0,1,1610443.8189465383
28,1037779.0,3,0,641324.0,Texas,2018,D,396455.0,0,2698467.722400166
29,1543674.0,5,1,1317450.0,Texas,2018,R,226224.0,1,3175681.2650263365
31,302671.0,2,0,217049.0,Utah,2018,R,85622.0,1,684990.2224585457
33,304435.0,3,0,136544.0,Virginia,2018,R,167891.0,1,1040246.7283485618
34,159891.0,2,1,111589.0,West Virginia,2018,D,48302.0,0,530986.8495155234
35,136220.0,6,0,47571.0,West Virginia,2018,R,88649.0,1,374378.3995067063
